Name,Extension,EntryNumber,SequenceNumber,ParentEntryNumber,ParentSequenceNumber,ParentPath,UpdateSequenceNumber,UpdateTimestamp,UpdateReasons,FileAttributes,OffsetToData,SourceFile
System Volume Information,,37,1,5,5,,0,2023-10-11 09:50:30.0904899,FileCreate,Hidden|System|Directory,0,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
System Volume Information,,37,1,5,5,,112,2023-10-11 09:50:30.0904899,FileCreate|Close,Hidden|System|Directory,112,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
EfaSIDat,,38,1,37,1,,224,2023-10-11 09:50:30.0914906,FileCreate,Hidden|System|Directory,224,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
EfaSIDat,,38,1,37,1,,304,2023-10-11 09:50:30.0914906,FileCreate|Close,Hidden|System|Directory,304,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB,.DB,39,1,38,1,,384,2023-10-11 09:50:30.0914906,FileCreate,Archive,384,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,1,38,1,,464,2023-10-11 09:50:30.0914906,FileCreate,Archive,464,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,1,38,1,,560,2023-10-11 09:50:30.0914906,DataExtend|FileCreate,Archive,560,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,1,38,1,,656,2023-10-11 09:50:30.0924910,DataOverwrite|DataExtend|FileCreate,Archive,656,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB,.DB,39,1,38,1,,752,2023-10-11 09:50:30.0934889,DataExtend|FileCreate,Archive,752,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,1,38,1,,832,2023-10-11 09:50:30.0934889,DataOverwrite|DataExtend|FileCreate|Close,Archive,832,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,1,38,1,,928,2023-10-11 09:50:30.0934889,RenameOldName,Archive,928,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sdmys_5A85C71F068A28B2A805BBE8,,40,1,38,1,,1024,2023-10-11 09:50:30.0934889,RenameNewName,Archive,1024,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sdmys_5A85C71F068A28B2A805BBE8,,40,1,38,1,,1144,2023-10-11 09:50:30.0934889,FileDelete|RenameNewName|Close,Archive,1144,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB,.DB,39,1,38,1,,1264,2023-10-11 09:50:34.1356946,DataExtend|FileCreate|Close,Archive,1264,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
$TxfLog.blf,.blf,33,1,30,1,,1344,2023-10-11 09:50:34.1386946,DataOverwrite,Archive,1344,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
$TxfLog.blf,.blf,33,1,30,1,,1432,2023-10-11 09:50:34.1386946,DataOverwrite|Close,Archive,1432,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
$TxfLog.blf,.blf,33,1,30,1,,1520,2023-10-11 09:50:34.1416944,Close,Archive,1520,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
$TxfLog.blf,.blf,33,1,30,1,,1608,2023-10-11 09:50:36.1495927,DataOverwrite,Archive,1608,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
$TxfLog.blf,.blf,33,1,30,1,,1696,2023-10-11 09:50:36.1506105,DataOverwrite|Close,Archive,1696,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,2,38,1,,1784,2023-10-11 09:50:56.6013060,FileCreate,Archive,1784,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
WPSettings.dat,.dat,41,1,37,1,,1880,2023-10-11 09:50:56.6013060,FileCreate,Archive,1880,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,2,38,1,,1968,2023-10-11 09:50:56.6013060,DataExtend|FileCreate,Archive,1968,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
WPSettings.dat,.dat,41,1,37,1,,2064,2023-10-11 09:50:56.6023054,DataExtend|FileCreate,Archive,2064,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
WPSettings.dat,.dat,41,1,37,1,,2152,2023-10-11 09:50:56.6023054,DataExtend|FileCreate|Close,Archive,2152,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,2,38,1,,2240,2023-10-11 09:50:56.6143211,DataOverwrite|DataExtend|FileCreate,Archive,2240,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB,.DB,39,1,38,1,,2336,2023-10-11 09:50:56.6143211,DataOverwrite,Archive,2336,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,2,38,1,,2416,2023-10-11 09:50:56.6153171,DataOverwrite|DataExtend|FileCreate|Close,Archive,2416,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,2,38,1,,2512,2023-10-11 09:50:56.6153171,RenameOldName,Archive,2512,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sdmys_C6B05B49A752AF76F4F214AA,,40,2,38,1,,2608,2023-10-11 09:50:56.6153171,RenameNewName,Archive,2608,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sdmys_C6B05B49A752AF76F4F214AA,,40,2,38,1,,2728,2023-10-11 09:50:56.6153171,FileDelete|RenameNewName|Close,Archive,2728,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,3,38,1,,2848,2023-10-11 09:50:56.6163042,FileCreate,Archive,2848,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,3,38,1,,2944,2023-10-11 09:50:56.6163042,DataExtend|FileCreate,Archive,2944,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,3,38,1,,3040,2023-10-11 09:50:56.6173034,DataOverwrite|DataExtend|FileCreate,Archive,3040,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,3,38,1,,3136,2023-10-11 09:50:56.6183044,DataOverwrite|DataExtend|FileCreate|Close,Archive,3136,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,3,38,1,,3232,2023-10-11 09:50:56.6183044,RenameOldName,Archive,3232,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sdmys_A6DEA479169F549665234565,,40,3,38,1,,3328,2023-10-11 09:50:56.6183044,RenameNewName,Archive,3328,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sdmys_A6DEA479169F549665234565,,40,3,38,1,,3448,2023-10-11 09:50:56.6183044,FileDelete|RenameNewName|Close,Archive,3448,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,4,38,1,,3568,2023-10-11 09:50:56.6193041,FileCreate,Archive,3568,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,4,38,1,,3664,2023-10-11 09:50:56.6193041,DataExtend|FileCreate,Archive,3664,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,4,38,1,,3760,2023-10-11 09:50:56.6193041,DataOverwrite|DataExtend|FileCreate,Archive,3760,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,4,38,1,,3856,2023-10-11 09:50:56.6203047,DataOverwrite|DataExtend|FileCreate|Close,Archive,3856,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,4,38,1,,3952,2023-10-11 09:50:56.6203047,RenameOldName,Archive,3952,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sdmys_1705061EA12815E4A9D07B27,,40,4,38,1,,4096,2023-10-11 09:50:56.6203047,RenameNewName,Archive,4096,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sdmys_1705061EA12815E4A9D07B27,,40,4,38,1,,4216,2023-10-11 09:50:56.6203047,FileDelete|RenameNewName|Close,Archive,4216,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,5,38,1,,4336,2023-10-11 09:50:56.6213133,FileCreate,Archive,4336,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,5,38,1,,4432,2023-10-11 09:50:56.6213133,DataExtend|FileCreate,Archive,4432,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,5,38,1,,4528,2023-10-11 09:50:56.6213133,DataOverwrite|DataExtend|FileCreate,Archive,4528,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,5,38,1,,4624,2023-10-11 09:50:56.6223034,DataOverwrite|DataExtend|FileCreate|Close,Archive,4624,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB-journal,.DB-journal,40,5,38,1,,4720,2023-10-11 09:50:56.6223034,RenameOldName,Archive,4720,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sdmys_F2B34860D5838F0ED610A4F1,,40,5,38,1,,4816,2023-10-11 09:50:56.6223034,RenameNewName,Archive,4816,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sdmys_F2B34860D5838F0ED610A4F1,,40,5,38,1,,4936,2023-10-11 09:50:56.6223034,FileDelete|RenameNewName|Close,Archive,4936,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
SYMEFA.DB,.DB,39,1,38,1,,5056,2023-10-11 10:15:56.6339986,DataOverwrite|Close,Archive,5056,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sm,,40,6,5,5,,5136,2023-10-11 10:58:58.2187044,FileCreate,Directory,5136,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sm,,40,6,5,5,,5200,2023-10-11 10:58:58.2187044,FileCreate|Close,Directory,5200,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
gz,,42,1,40,6,,5264,2023-10-11 10:58:58.2187044,FileCreate,Archive,5264,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
gz,,42,1,40,6,,5328,2023-10-11 10:58:58.2187044,DataExtend|FileCreate,Archive,5328,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
gz,,42,1,40,6,,5392,2023-10-11 10:58:58.2197049,DataExtend|FileCreate|Close,Archive,5392,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
rj.fest,.fest,43,1,40,6,,5456,2023-10-11 10:58:58.2207072,FileCreate,Archive,5456,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
rj.fest,.fest,43,1,40,6,,5536,2023-10-11 10:58:58.2207072,DataExtend|FileCreate,Archive,5536,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
rj.fest,.fest,43,1,40,6,,5616,2023-10-11 10:58:58.2207072,DataExtend|FileCreate|Close,Archive,5616,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
rj,,44,1,5,5,,5696,2023-10-11 10:58:58.2217063,FileCreate,Directory,5696,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
rj,,44,1,5,5,,5760,2023-10-11 10:58:58.2217063,FileCreate|Close,Directory,5760,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
qe,,45,1,44,1,,5824,2023-10-11 10:58:58.2227053,FileCreate,Archive,5824,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
qe,,45,1,44,1,,5888,2023-10-11 10:58:58.2227053,DataExtend|FileCreate,Archive,5888,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
qe,,45,1,44,1,,5952,2023-10-11 10:58:58.2227053,DataExtend|FileCreate|Close,Archive,5952,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
jy,,46,1,5,5,,6016,2023-10-11 10:58:58.2237058,FileCreate,Directory,6016,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
jy,,46,1,5,5,,6080,2023-10-11 10:58:58.2237058,FileCreate|Close,Directory,6080,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
hd.fest,.fest,47,1,46,1,,6144,2023-10-11 10:58:58.2237058,FileCreate,Archive,6144,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
hd.fest,.fest,47,1,46,1,,6224,2023-10-11 10:58:58.2237058,DataExtend|FileCreate,Archive,6224,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
hd.fest,.fest,47,1,46,1,,6304,2023-10-11 10:58:58.2247056,DataExtend|FileCreate|Close,Archive,6304,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
zd,,48,1,5,5,,6384,2023-10-11 10:58:58.2247056,FileCreate,Directory,6384,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
zd,,48,1,5,5,,6448,2023-10-11 10:58:58.2247056,FileCreate|Close,Directory,6448,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
fs.txt,.txt,49,1,48,1,,6512,2023-10-11 10:58:58.2257050,FileCreate,Archive,6512,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
fs.txt,.txt,49,1,48,1,,6584,2023-10-11 10:58:58.2257050,DataExtend|FileCreate,Archive,6584,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
fs.txt,.txt,49,1,48,1,,6656,2023-10-11 10:58:58.2257050,DataExtend|FileCreate|Close,Archive,6656,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sz,,50,1,5,5,,6728,2023-10-11 10:58:58.2267059,FileCreate,Directory,6728,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sz,,50,1,5,5,,6792,2023-10-11 10:58:58.2267059,FileCreate|Close,Directory,6792,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
rb,,51,1,50,1,,6856,2023-10-11 10:58:58.2267059,FileCreate,Archive,6856,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
rb,,51,1,50,1,,6920,2023-10-11 10:58:58.2277050,DataExtend|FileCreate,Archive,6920,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
rb,,51,1,50,1,,6984,2023-10-11 10:58:58.2277050,DataExtend|FileCreate|Close,Archive,6984,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
oo.fest,.fest,52,1,40,6,,7048,2023-10-11 10:58:58.2287082,FileCreate,Archive,7048,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
oo.fest,.fest,52,1,40,6,,7128,2023-10-11 10:58:58.2287082,DataExtend|FileCreate,Archive,7128,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
oo.fest,.fest,52,1,40,6,,7208,2023-10-11 10:58:58.2297068,DataExtend|FileCreate|Close,Archive,7208,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
yk,,53,1,5,5,,7288,2023-10-11 10:58:58.2297068,FileCreate,Directory,7288,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
yk,,53,1,5,5,,7352,2023-10-11 10:58:58.2297068,FileCreate|Close,Directory,7352,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
vh.txt,.txt,54,1,53,1,,7416,2023-10-11 10:58:58.2297068,FileCreate,Archive,7416,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
vh.txt,.txt,54,1,53,1,,7488,2023-10-11 10:58:58.2307053,DataExtend|FileCreate,Archive,7488,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
vh.txt,.txt,54,1,53,1,,7560,2023-10-11 10:58:58.2307053,DataExtend|FileCreate|Close,Archive,7560,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
uc.bob,.bob,55,1,40,6,,7632,2023-10-11 10:58:58.2317051,FileCreate,Archive,7632,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
uc.bob,.bob,55,1,40,6,,7704,2023-10-11 10:58:58.2317051,DataExtend|FileCreate,Archive,7704,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
uc.bob,.bob,55,1,40,6,,7776,2023-10-11 10:58:58.2317051,DataExtend|FileCreate|Close,Archive,7776,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
bn,,56,1,5,5,,7848,2023-10-11 10:58:58.2327357,FileCreate,Directory,7848,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
bn,,56,1,5,5,,7912,2023-10-11 10:58:58.2327357,FileCreate|Close,Directory,7912,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sy.jul,.jul,57,1,56,1,,7976,2023-10-11 10:58:58.2327357,FileCreate,Archive,7976,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sy.jul,.jul,57,1,56,1,,8048,2023-10-11 10:58:58.2337051,DataExtend|FileCreate,Archive,8048,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
sy.jul,.jul,57,1,56,1,,8120,2023-10-11 10:58:58.2337051,DataExtend|FileCreate|Close,Archive,8120,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
mh.nisse,.nisse,58,1,53,1,,8192,2023-10-11 10:58:58.2347463,FileCreate,Archive,8192,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
mh.nisse,.nisse,58,1,53,1,,8272,2023-10-11 10:58:58.2347463,DataExtend|FileCreate,Archive,8272,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
mh.nisse,.nisse,58,1,53,1,,8352,2023-10-11 10:58:58.2347463,DataExtend|FileCreate|Close,Archive,8352,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ga.jul,.jul,59,1,56,1,,8432,2023-10-11 10:58:58.2357060,FileCreate,Archive,8432,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ga.jul,.jul,59,1,56,1,,8504,2023-10-11 10:58:58.2357060,DataExtend|FileCreate,Archive,8504,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ga.jul,.jul,59,1,56,1,,8576,2023-10-11 10:58:58.2367047,DataExtend|FileCreate|Close,Archive,8576,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ga.txt,.txt,60,1,44,1,,8648,2023-10-11 10:58:58.2377049,FileCreate,Archive,8648,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ga.txt,.txt,60,1,44,1,,8720,2023-10-11 10:58:58.2377049,DataExtend|FileCreate,Archive,8720,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ga.txt,.txt,60,1,44,1,,8792,2023-10-11 10:58:58.2377049,DataExtend|FileCreate|Close,Archive,8792,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
tw,,61,1,5,5,,8864,2023-10-11 10:58:58.2387047,FileCreate,Directory,8864,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
tw,,61,1,5,5,,8928,2023-10-11 10:58:58.2387047,FileCreate|Close,Directory,8928,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ym,,62,1,61,1,,8992,2023-10-11 10:58:58.2387047,FileCreate,Archive,8992,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ym,,62,1,61,1,,9056,2023-10-11 10:58:58.2387047,DataExtend|FileCreate,Archive,9056,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ym,,62,1,61,1,,9120,2023-10-11 10:58:58.2397052,DataExtend|FileCreate|Close,Archive,9120,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
j.txt,.txt,63,1,40,6,,9184,2023-10-11 10:58:58.2407049,FileCreate,Archive,9184,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
j.txt,.txt,63,1,40,6,,9256,2023-10-11 10:58:58.2407049,DataExtend|FileCreate,Archive,9256,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
j.txt,.txt,63,1,40,6,,9328,2023-10-11 10:58:58.2407049,DataExtend|FileCreate|Close,Archive,9328,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
